Hidden Layers,Activation,Epochs,Learning Rate,Batch Size,Accuracy
[4],Linear,1,10.0,16,81.95121951219512
[4],Linear,1,10.0,32,81.95121951219512
[4],Linear,1,10.0,64,79.51219512195122
[4],Linear,1,10.0,128,80.0
[4],Linear,1,10.0,256,82.92682926829268
[4],Linear,1,10.0,512,75.1219512195122
[4],Linear,1,1.0,16,81.46341463414635
[4],Linear,1,1.0,32,76.09756097560975
[4],Linear,1,1.0,64,81.46341463414635
[4],Linear,1,1.0,128,84.39024390243902
[4],Linear,1,1.0,256,80.0
[4],Linear,1,1.0,512,23.414634146341463
[4],Linear,1,0.1,16,81.46341463414635
[4],Linear,1,0.1,32,84.39024390243902
[4],Linear,1,0.1,64,79.51219512195122
[4],Linear,1,0.1,128,79.51219512195122
[4],Linear,1,0.1,256,79.02439024390245
[4],Linear,1,0.1,512,83.90243902439025
[4],Linear,1,0.01,16,81.95121951219512
[4],Linear,1,0.01,32,82.92682926829268
[4],Linear,1,0.01,64,83.41463414634147
[4],Linear,1,0.01,128,61.46341463414634
[4],Linear,1,0.01,256,77.07317073170732
[4],Linear,1,0.01,512,49.26829268292683
[4],Linear,1,0.001,16,55.609756097560975
[4],Linear,1,0.001,32,74.63414634146342
[4],Linear,1,0.001,64,44.390243902439025
[4],Linear,1,0.001,128,56.58536585365854
[4],Linear,1,0.001,256,47.80487804878049
[4],Linear,1,0.001,512,38.048780487804876
[4],Linear,1,0.0001,16,48.78048780487805
[4],Linear,1,0.0001,32,51.707317073170735
[4],Linear,1,0.0001,64,41.951219512195124
[4],Linear,1,0.0001,128,28.78048780487805
[4],Linear,1,0.0001,256,40.48780487804878
[4],Linear,1,0.0001,512,56.58536585365854
[4],Linear,10,10.0,16,83.41463414634147
[4],Linear,10,10.0,32,80.48780487804878
[4],Linear,10,10.0,64,69.7560975609756
[4],Linear,10,10.0,128,80.97560975609755
[4],Linear,10,10.0,256,82.4390243902439
[4],Linear,10,10.0,512,84.8780487804878
[4],Linear,10,1.0,16,27.317073170731707
[4],Linear,10,1.0,32,80.0
[4],Linear,10,1.0,64,79.51219512195122
[4],Linear,10,1.0,128,71.70731707317073
[4],Linear,10,1.0,256,82.4390243902439
[4],Linear,10,1.0,512,83.90243902439025
[4],Linear,10,0.1,16,80.0
[4],Linear,10,0.1,32,81.46341463414635
[4],Linear,10,0.1,64,81.95121951219512
[4],Linear,10,0.1,128,81.46341463414635
[4],Linear,10,0.1,256,82.4390243902439
[4],Linear,10,0.1,512,81.95121951219512
[4],Linear,10,0.01,16,81.46341463414635
[4],Linear,10,0.01,32,80.97560975609755
[4],Linear,10,0.01,64,80.97560975609755
[4],Linear,10,0.01,128,80.0
[4],Linear,10,0.01,256,81.95121951219512
[4],Linear,10,0.01,512,82.4390243902439
[4],Linear,10,0.001,16,82.4390243902439
[4],Linear,10,0.001,32,81.46341463414635
[4],Linear,10,0.001,64,81.95121951219512
[4],Linear,10,0.001,128,69.7560975609756
[4],Linear,10,0.001,256,69.26829268292683
[4],Linear,10,0.001,512,45.36585365853659
[4],Linear,10,0.0001,16,51.707317073170735
[4],Linear,10,0.0001,32,58.048780487804876
[4],Linear,10,0.0001,64,52.19512195121951
[4],Linear,10,0.0001,128,34.63414634146341
[4],Linear,10,0.0001,256,55.1219512195122
[4],Linear,10,0.0001,512,31.70731707317073
[4],Linear,25,10.0,16,82.92682926829268
[4],Linear,25,10.0,32,45.36585365853659
[4],Linear,25,10.0,64,56.09756097560975
[4],Linear,25,10.0,128,83.90243902439025
[4],Linear,25,10.0,256,80.0
[4],Linear,25,10.0,512,39.51219512195122
[4],Linear,25,1.0,16,75.60975609756098
[4],Linear,25,1.0,32,80.0
[4],Linear,25,1.0,64,82.92682926829268
[4],Linear,25,1.0,128,83.90243902439025
[4],Linear,25,1.0,256,79.51219512195122
[4],Linear,25,1.0,512,84.8780487804878
[4],Linear,25,0.1,16,82.92682926829268
[4],Linear,25,0.1,32,82.92682926829268
[4],Linear,25,0.1,64,81.95121951219512
[4],Linear,25,0.1,128,83.41463414634147
[4],Linear,25,0.1,256,80.48780487804878
[4],Linear,25,0.1,512,82.4390243902439
[4],Linear,25,0.01,16,80.48780487804878
[4],Linear,25,0.01,32,83.41463414634147
[4],Linear,25,0.01,64,80.48780487804878
[4],Linear,25,0.01,128,80.97560975609755
[4],Linear,25,0.01,256,82.92682926829268
[4],Linear,25,0.01,512,81.46341463414635
[4],Linear,25,0.001,16,81.46341463414635
[4],Linear,25,0.001,32,81.95121951219512
[4],Linear,25,0.001,64,80.97560975609755
[4],Linear,25,0.001,128,78.53658536585365
[4],Linear,25,0.001,256,78.53658536585365
[4],Linear,25,0.001,512,53.170731707317074
[4],Linear,25,0.0001,16,82.92682926829268
[4],Linear,25,0.0001,32,49.75609756097561
[4],Linear,25,0.0001,64,73.65853658536585
[4],Linear,25,0.0001,128,45.853658536585364
[4],Linear,25,0.0001,256,63.90243902439025
[4],Linear,25,0.0001,512,60.48780487804878
[4],Linear,50,10.0,16,35.609756097560975
[4],Linear,50,10.0,32,74.63414634146342
[4],Linear,50,10.0,64,78.53658536585365
[4],Linear,50,10.0,128,21.463414634146343
[4],Linear,50,10.0,256,76.58536585365853
[4],Linear,50,10.0,512,81.95121951219512
[4],Linear,50,1.0,16,79.02439024390245
[4],Linear,50,1.0,32,77.07317073170732
[4],Linear,50,1.0,64,79.51219512195122
[4],Linear,50,1.0,128,80.97560975609755
[4],Linear,50,1.0,256,84.8780487804878
[4],Linear,50,1.0,512,80.48780487804878
[4],Linear,50,0.1,16,83.90243902439025
[4],Linear,50,0.1,32,82.4390243902439
[4],Linear,50,0.1,64,82.4390243902439
[4],Linear,50,0.1,128,81.95121951219512
[4],Linear,50,0.1,256,81.46341463414635
[4],Linear,50,0.1,512,80.97560975609755
[4],Linear,50,0.01,16,84.39024390243902
[4],Linear,50,0.01,32,80.48780487804878
[4],Linear,50,0.01,64,80.97560975609755
[4],Linear,50,0.01,128,80.97560975609755
[4],Linear,50,0.01,256,82.4390243902439
[4],Linear,50,0.01,512,80.97560975609755
[4],Linear,50,0.001,16,80.97560975609755
[4],Linear,50,0.001,32,80.97560975609755
[4],Linear,50,0.001,64,80.0
[4],Linear,50,0.001,128,80.48780487804878
[4],Linear,50,0.001,256,79.02439024390245
[4],Linear,50,0.001,512,74.63414634146342
[4],Linear,50,0.0001,16,79.02439024390245
[4],Linear,50,0.0001,32,83.41463414634147
[4],Linear,50,0.0001,64,59.02439024390244
[4],Linear,50,0.0001,128,55.1219512195122
[4],Linear,50,0.0001,256,77.07317073170732
[4],Linear,50,0.0001,512,56.58536585365854
[4],Linear,100,10.0,16,83.41463414634147
[4],Linear,100,10.0,32,76.58536585365853
[4],Linear,100,10.0,64,77.07317073170732
[4],Linear,100,10.0,128,82.92682926829268
[4],Linear,100,10.0,256,73.17073170731707
[4],Linear,100,10.0,512,82.4390243902439
[4],Linear,100,1.0,16,79.51219512195122
[4],Linear,100,1.0,32,80.97560975609755
[4],Linear,100,1.0,64,78.53658536585365
[4],Linear,100,1.0,128,80.97560975609755
[4],Linear,100,1.0,256,84.39024390243902
[4],Linear,100,1.0,512,84.8780487804878
[4],Linear,100,0.1,16,82.92682926829268
[4],Linear,100,0.1,32,80.97560975609755
[4],Linear,100,0.1,64,80.48780487804878
[4],Linear,100,0.1,128,82.4390243902439
[4],Linear,100,0.1,256,80.0
[4],Linear,100,0.1,512,81.46341463414635
[4],Linear,100,0.01,16,81.46341463414635
[4],Linear,100,0.01,32,81.95121951219512
[4],Linear,100,0.01,64,80.97560975609755
[4],Linear,100,0.01,128,81.46341463414635
[4],Linear,100,0.01,256,81.95121951219512
[4],Linear,100,0.01,512,80.48780487804878
[4],Linear,100,0.001,16,80.97560975609755
[4],Linear,100,0.001,32,80.97560975609755
[4],Linear,100,0.001,64,80.97560975609755
[4],Linear,100,0.001,128,81.46341463414635
[4],Linear,100,0.001,256,80.0
[4],Linear,100,0.001,512,80.48780487804878
[4],Linear,100,0.0001,16,79.02439024390245
[4],Linear,100,0.0001,32,84.39024390243902
[4],Linear,100,0.0001,64,70.2439024390244
[4],Linear,100,0.0001,128,74.14634146341463
[4],Linear,100,0.0001,256,57.5609756097561
[4],Linear,100,0.0001,512,60.97560975609756
[4],Linear,250,10.0,16,74.63414634146342
[4],Linear,250,10.0,32,51.707317073170735
[4],Linear,250,10.0,64,83.90243902439025
[4],Linear,250,10.0,128,85.85365853658537
[4],Linear,250,10.0,256,82.4390243902439
[4],Linear,250,10.0,512,80.0
[4],Linear,250,1.0,16,80.97560975609755
[4],Linear,250,1.0,32,81.95121951219512
[4],Linear,250,1.0,64,83.41463414634147
[4],Linear,250,1.0,128,85.36585365853658
[4],Linear,250,1.0,256,85.36585365853658
[4],Linear,250,1.0,512,80.0
[4],Linear,250,0.1,16,82.92682926829268
[4],Linear,250,0.1,32,81.95121951219512
[4],Linear,250,0.1,64,82.4390243902439
[4],Linear,250,0.1,128,81.46341463414635
[4],Linear,250,0.1,256,80.48780487804878
[4],Linear,250,0.1,512,81.46341463414635
[4],Linear,250,0.01,16,80.97560975609755
